Location,Waterbody Code,Lat,Lon,Structure,Year Installed,ele,time,name
Glen Cunningham,5720,41.33946698,-96.04994698,CEDAR,2019,336.583893,2020/05/26 18:45:03+00,CED801
Glen Cunningham,5720,41.33950797,-96.04983903,CEDAR,2019,336.144684,2020/05/26 18:45:45+00,CED81
Glen Cunningham,5720,41.33954502,-96.04980701,CEDAR,2019,335.918884,2020/05/26 18:46:04+00,CED82
Glen Cunningham,5720,41.339456,-96.04974196,CEDAR,2019,336.338409,2020/05/26 18:46:55+00,CED83
Glen Cunningham,5720,41.33935802,-96.04960299,CEDAR,2019,336.571716,2020/05/26 18:47:23+00,CED84
Glen Cunningham,5720,41.33934301,-96.04956703,CEDAR,2019,336.432098,2020/05/26 18:47:38+00,CED85
Glen Cunningham,5720,41.33933698,-96.04947701,CEDAR,2019,336.832397,2020/05/26 18:47:58+00,CED86
Glen Cunningham,5720,41.34061798,-96.04696596,CEDAR,2019,343.208862,2020/05/26 17:48:08+00,CEDAR1
Glen Cunningham,5720,41.35263998,-96.05833903,ISLAND,2019,339.259827,2020/06/15 17:12:14+00,ISLAND
Glen Cunningham,5720,41.34544102,-96.055142,TREE,2019,321.223419,2020/06/15 16:12:44+00,LOG
Glen Cunningham,5720,41.35266596,-96.05571499,TREE,2019,334.166473,2020/06/15 16:59:02+00,LOG1
Glen Cunningham,5720,41.35017503,-96.05364097,OLD ROAD END,2019,341.573578,2020/06/15 18:40:36+00,OLD RD END
Glen Cunningham,5720,41.35017402,-96.05456801,OLD BRIDGE,2019,340.116241,2020/06/15 18:43:38+00,OLDBRIDGE
Glen Cunningham,5720,41.35345101,-96.05534501,STRUCTURE,2019,335.850586,2020/06/15 16:46:48+00,P1
Glen Cunningham,5720,41.35013999,-96.05388002,ROCK PILE,2019,339.537476,2020/06/15 18:41:24+00,PALLET
Glen Cunningham,5720,41.34136297,-96.04727198,ROCK PILE,2019,341.559326,2020/05/26 18:13:45+00,ROCK1
Glen Cunningham,5720,41.341397,-96.04722898,ROCK PILE,2019,342.604858,2020/05/26 18:14:11+00,ROCK2
Glen Cunningham,5720,41.34140203,-96.04773299,ROCK PILE,2019,340.997894,2020/05/26 18:15:22+00,ROCK3
Glen Cunningham,5720,41.34150898,-96.04794497,ROCK PILE,2019,340.496002,2020/05/26 18:16:11+00,ROCK4
Glen Cunningham,5720,41.34153002,-96.04811101,ROCK PILE,2019,340.24234,2020/05/26 18:16:41+00,ROCK5
Glen Cunningham,5720,41.33948802,-96.04994296,ROCK PILE,2019,336.335327,2020/05/26 18:45:19+00,ROCK51
Glen Cunningham,5720,41.34134796,-96.04847504,ROCK PILE,2019,340.627594,2020/05/26 18:18:26+00,ROCK6
Glen Cunningham,5720,41.33950998,-96.04977801,ROCK PILE,2019,336.452454,2020/05/26 18:46:22+00,ROCK61
Glen Cunningham,5720,41.34015203,-96.04836599,ROCK PILE,2019,335.246338,2020/05/26 18:57:46+00,ROCK62
Glen Cunningham,5720,41.339297,-96.05100797,ROOTWAD,2019,337.036896,2020/05/26 18:36:05+00,ROOTWAD1
Glen Cunningham,5720,41.33940202,-96.05073304,ROOTWAD,2019,336.689423,2020/05/26 18:37:03+00,ROOTWAD2
Glen Cunningham,5720,41.34225698,-96.0554,SHOAL,2019,335.57193,2020/05/26 19:13:53+00,SHOAL1
Glen Cunningham,5720,41.34265596,-96.05509096,SHOAL,2019,334.954254,2020/05/26 19:15:03+00,SHOAL2
Glen Cunningham,5720,41.34302703,-96.05488703,SHOAL,2019,334.969116,2020/05/26 19:16:10+00,SHOAL3
Glen Cunningham,5720,41.34163102,-96.05594499,SHOAL,2019,337.277588,2020/05/26 19:12:16+00,SHOAL4
Glen Cunningham,5720,41.34437601,-96.05489197,SHOAL,2019,316.81015,2020/06/15 16:10:08+00,SPAWN BED11
Glen Cunningham,5720,41.35315496,-96.05711502,SHOAL,2019,337.269165,2020/06/15 17:21:57+00,SPAWN BED4
Glen Cunningham,5720,41.352585,-96.05687002,SHOAL,2019,336.047699,2020/06/15 17:09:26+00,SPAWN BED5
Glen Cunningham,5720,41.35292002,-96.05585698,SHOAL,2019,336.813965,2020/06/15 16:48:30+00,SPAWN BED6
Glen Cunningham,5720,41.35376802,-96.055716,SHOAL,2019,340.297424,2020/06/15 17:27:04+00,SPAWN BED7
Glen Cunningham,5720,41.35442499,-96.05529799,SHOAL,2019,336.577942,2020/06/15 16:44:19+00,SPAWN BED8
Glen Cunningham,5720,41.34393998,-96.05617499,SHOAL,2019,304.734161,2020/06/15 15:57:31+00,SPAWN10
Glen Cunningham,5720,41.34128703,-96.04716696,TREE,2019,341.572357,2020/05/26 18:12:10+00,STUMP1
Glen Cunningham,5720,41.34121503,-96.04723401,TREE,2019,341.942963,2020/05/26 18:12:46+00,STUMP2
Glen Cunningham,5720,41.34031598,-96.05056004,TREE,2019,337.272949,2020/05/26 18:25:31+00,STUMP3
Glen Cunningham,5720,41.35213899,-96.05309397,TREE,2019,339.775513,2020/06/15 18:52:51+00,TREE
Glen Cunningham,5720,41.35368797,-96.05822101,SHOAL,2019,338.652954,2020/06/15 17:16:52+00,VEG BAR
Glen Cunningham,5720,41.34163102,-96.05594499,SHOAL,2019,337.277588,2020/05/26 19:12:16+00,VEG BAR1
Glen Cunningham,5720,41.34417803,-96.05753596,SHOAL,2019,298.115753,2020/06/15 15:52:10+00,VEG BAR5
Glen Cunningham,5720,41.34423796,-96.057227,SHOAL,2019,302.490143,2020/06/15 15:54:32+00,VEG BAR6
Glen Cunningham,5720,41.34437299,-96.05547401,SHOAL,2019,315.778595,2020/06/15 16:06:46+00,VEG BAR61
Glen Cunningham,5720,41.35342796,-96.05750704,SHOAL,2019,338.761475,2020/06/15 17:19:38+00,VEG BAR7
Glen Cunningham,5720,41.35332,-96.05605597,SHOAL,2019,339.397064,2020/06/15 17:25:15+00,VEG BAR8
Glen Cunningham,5720,41.35416901,-96.05570996,SHOAL,2019,341.347046,2020/06/15 17:28:45+00,VEG BAR9
